metric_type,epoch,fold_number,fold_specific_value,avg_train_loss,avg_eval_loss,avg_eval_accuracy,avg_eval_f1_weighted,std_eval_f1_weighted,avg_eval_precision_weighted,avg_eval_recall_weighted
averaged_per_epoch,1.0,,,1.34686,1.2937880754470825,0.374,0.2148531205257357,0.06162915690439303,0.18584682008973802,0.374
averaged_per_epoch,2.0,,,1.28666,1.2769072294235229,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,3.0,,,1.28152,1.2740185499191283,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,4.0,,,1.27714,1.2704931259155274,0.402,0.23567282913165263,0.015879214388116156,0.1865,0.402
averaged_per_epoch,5.0,,,1.2709199999999998,1.2569286823272705,0.394,0.27026806850695223,0.05871658673759764,0.21593301972963097,0.394
averaged_per_epoch,6.0,,,1.23006,1.2052978515625,0.42000000000000004,0.30031809813391247,0.055509094576145876,0.32284647057794735,0.42000000000000004
averaged_per_epoch,7.0,,,1.1148,1.1576757669448852,0.46399999999999997,0.42691525290910953,0.03433085423721708,0.4793523110193014,0.46399999999999997
averaged_per_epoch,8.0,,,0.98956,1.0513930678367616,0.5359999999999999,0.4939797209945624,0.04299486834261761,0.5059852239393675,0.5359999999999999
averaged_per_epoch,9.0,,,0.83894,0.9999604463577271,0.572,0.5464008824528925,0.041865229012094544,0.5532959259470888,0.572
averaged_per_epoch,10.0,,,0.73672,0.9608911991119384,0.61,0.5985549914564923,0.03992995244091994,0.6086229238906016,0.61
averaged_per_epoch,11.0,,,0.6162799999999999,0.9667645573616028,0.6359999999999999,0.6213667554434313,0.04633187423240836,0.6534913503538473,0.6359999999999999
averaged_per_epoch,12.0,,,0.50966,0.9695873260498047,0.622,0.6071677355027241,0.06409949349363916,0.6392054663206593,0.622
averaged_per_epoch,13.0,,,0.43886000000000003,0.9600520253181457,0.656,0.6445563398924417,0.08330679575260622,0.6674488854565354,0.656
averaged_per_epoch,14.0,,,0.35348,1.0048779010772706,0.6519999999999999,0.6412853082279961,0.05627237031185789,0.657860518034802,0.6519999999999999
averaged_per_epoch,15.0,,,0.29162,1.051907980442047,0.67,0.6616239593664661,0.04762756221704496,0.6807474544783085,0.67
averaged_per_epoch,16.0,,,0.24118,1.033649706840515,0.6679999999999999,0.6599024176473824,0.055857809215878955,0.6699682720247921,0.6679999999999999
averaged_per_epoch,17.0,,,0.19458,1.1337276339530944,0.6679999999999999,0.6593685488800398,0.05222073892684254,0.6797591120198521,0.6679999999999999
averaged_per_epoch,18.0,,,0.16088,1.1917837500572204,0.67,0.6584350116637592,0.059660606845934216,0.6712932219126222,0.67
averaged_per_epoch,19.0,,,0.13816,1.1878698587417602,0.682,0.672760871458806,0.05047624988158495,0.6870866709429604,0.682
averaged_per_epoch,20.0,,,0.10274000000000001,1.3399997711181642,0.682,0.670566509960757,0.05978770264124244,0.6922135968721254,0.682
averaged_per_epoch,21.0,,,0.08068,1.2974397540092468,0.6839999999999999,0.6763428388680706,0.051742662332805944,0.6913495535122682,0.6839999999999999
averaged_per_epoch,22.0,,,0.06858,1.3910300135612488,0.694,0.6830289802492351,0.051008563575925564,0.7006246751856915,0.694
averaged_per_epoch,23.0,,,0.05754,1.4308804392814636,0.6980000000000001,0.6894091289463098,0.04285577551884148,0.70922120203581,0.6980000000000001
averaged_per_epoch,24.0,,,0.04148,1.468000626564026,0.682,0.6751696232672568,0.05321539067089263,0.6884614958781273,0.682
averaged_per_epoch,25.0,,,0.040760000000000005,1.5178462028503419,0.6900000000000001,0.6841436804346724,0.04962761605248665,0.6966239598128366,0.6900000000000001
averaged_per_epoch,26.0,,,0.03338,1.5892191171646117,0.688,0.6796165696546472,0.05272280966676279,0.6941844218651217,0.688
averaged_per_epoch,27.0,,,0.021920000000000002,1.6611269950866698,0.6940000000000001,0.6865448131419947,0.06009823378787692,0.7067543265964662,0.6940000000000001
averaged_per_epoch,28.0,,,0.02062,1.6901778697967529,0.686,0.6764755147617235,0.06126306936827627,0.6893596733976367,0.686
averaged_per_epoch,29.0,,,0.01942,1.6725030183792113,0.6900000000000001,0.68384398393479,0.06042225577736969,0.6970425975596504,0.6900000000000001
averaged_per_epoch,30.0,,,0.016300000000000002,1.6797470569610595,0.7,0.6950634384526537,0.05174043349171179,0.701650646090283,0.7
averaged_per_epoch,31.0,,,0.013619999999999998,1.7554761171340942,0.7020000000000001,0.6952026949924306,0.06034366263748896,0.7070185071828241,0.7020000000000001
averaged_per_epoch,32.0,,,0.01216,1.8599656581878663,0.71,0.7027185986282506,0.052094267858900034,0.7202243137002166,0.71
averaged_per_epoch,33.0,,,0.00976,1.8309675693511962,0.6940000000000001,0.6866076946942894,0.05230512918411634,0.6999557217438714,0.6940000000000001
averaged_per_epoch,34.0,,,0.00486,1.8980618238449096,0.6859999999999999,0.6765568993705428,0.06513263076088467,0.6931892948561437,0.6859999999999999
averaged_per_epoch,35.0,,,0.0074800000000000005,1.9040118932724,0.692,0.6842088028143876,0.05983362169993839,0.7007942276417728,0.692
averaged_per_epoch,36.0,,,0.011459999999999998,1.9228058815002442,0.696,0.6887005207142777,0.0530900753157702,0.7008359145435221,0.696
averaged_per_epoch,37.0,,,0.0128,1.9637714147567749,0.692,0.6805629889258189,0.06341716859890714,0.6907095757388028,0.692
averaged_per_epoch,38.0,,,0.004960000000000001,1.9415229082107544,0.6980000000000001,0.6887511749015947,0.057462308084784725,0.7050235753056043,0.6980000000000001
averaged_per_epoch,39.0,,,0.0057,1.96541485786438,0.702,0.6932002689432692,0.04611575174010385,0.7092865611626225,0.702
averaged_per_epoch,40.0,,,0.004880000000000001,1.9912440299987793,0.7060000000000001,0.6985530977653112,0.040413153916554964,0.7145127577615005,0.7060000000000001
averaged_per_epoch,41.0,,,0.0036000000000000003,2.013055515289307,0.6900000000000001,0.6824901280734343,0.05397501729965593,0.6971920063030506,0.6900000000000001
averaged_per_epoch,42.0,,,0.00194,2.0783212423324584,0.6940000000000001,0.6830003141162732,0.053450733879220634,0.7002346471279585,0.6940000000000001
averaged_per_epoch,43.0,,,0.0021000000000000003,2.0204895734786987,0.7020000000000001,0.6962605139194948,0.05720402079080067,0.7090998421802865,0.7020000000000001
averaged_per_epoch,44.0,,,0.0030399999999999997,2.0643836736679075,0.696,0.6883773305356744,0.06136408659361566,0.7045315572097252,0.696
averaged_per_epoch,45.0,,,0.00228,2.071700382232666,0.6940000000000001,0.6866521571340828,0.056957005583767525,0.7018317674845085,0.6940000000000001
averaged_per_epoch,46.0,,,0.0048000000000000004,2.101736640930176,0.692,0.6821976683014748,0.06644990051769241,0.7023278035842679,0.692
averaged_per_epoch,47.0,,,0.0022199999999999998,2.078713631629944,0.6980000000000001,0.6901015640033105,0.05327132069187842,0.7071151896356153,0.6980000000000001
averaged_per_epoch,48.0,,,0.00498,2.085039830207825,0.704,0.6943789799838553,0.05847073717360245,0.7063819964611117,0.704
averaged_per_epoch,49.0,,,0.00162,2.15717294216156,0.704,0.6963409625536809,0.06543813052695431,0.7102979518663586,0.704
averaged_per_epoch,50.0,,,0.00302,2.1233575105667115,0.7060000000000001,0.6952480897441109,0.06967398218019683,0.702916101086191,0.7060000000000001
averaged_per_epoch,51.0,,,0.00138,2.1510815143585207,0.712,0.7039436724373882,0.05510307082274318,0.7157662416542829,0.712
averaged_per_epoch,52.0,,,0.004880000000000001,2.1268680334091186,0.704,0.6942311787063298,0.054826322558867525,0.7096008386380216,0.704
averaged_per_epoch,53.0,,,0.00352,2.137852644920349,0.712,0.704477993752854,0.06003361549675472,0.7167951208318851,0.712
averaged_per_epoch,54.0,,,0.00146,2.159310221672058,0.7020000000000001,0.6936025241824526,0.06219065497850638,0.7079852525252526,0.7020000000000001
averaged_per_epoch,55.0,,,0.0039,2.140521740913391,0.708,0.7002395517290954,0.04398709376944943,0.7138487490061369,0.708
averaged_per_epoch,56.0,,,0.00162,2.1760955095291137,0.7060000000000001,0.6990989108696899,0.06282088192619108,0.7169881163204226,0.7060000000000001
averaged_per_epoch,57.0,,,0.00088,2.138634514808655,0.708,0.7008000229908098,0.051256867463799254,0.714481391954901,0.708
averaged_per_epoch,58.0,,,0.0037600000000000003,2.1712491035461428,0.714,0.7047764781605601,0.04550668948760006,0.7213351477052761,0.714
averaged_per_epoch,59.0,,,0.0016799999999999999,2.234410309791565,0.7060000000000001,0.6971394117885195,0.06113451188231134,0.7143071920069228,0.7060000000000001
averaged_per_epoch,60.0,,,0.0006799999999999999,2.1425693035125732,0.7100000000000001,0.7027919864398855,0.05274452894250663,0.7131830274542936,0.7100000000000001
averaged_per_epoch,61.0,,,0.0020399999999999997,2.1999509811401365,0.716,0.7081441733304201,0.04903462560712355,0.7234243582373374,0.716
averaged_per_epoch,62.0,,,0.0010999999999999998,2.1626101970672607,0.7060000000000001,0.6984025210447949,0.05261932295345532,0.7134902292638616,0.7060000000000001
averaged_per_epoch,63.0,,,0.00098,2.1930004835128782,0.716,0.7092352999904337,0.050840651104042296,0.7234005550573326,0.716
averaged_per_epoch,64.0,,,0.0027,2.2386633157730103,0.7060000000000001,0.6970976625221945,0.0409862180297976,0.7139190534598566,0.7060000000000001
averaged_per_epoch,65.0,,,0.00206,2.2360948085784913,0.708,0.6986798674635334,0.043272953753693506,0.716306408771908,0.708
averaged_per_epoch,66.0,,,0.00136,2.191090631484985,0.7100000000000001,0.7023957646011849,0.05596165751773997,0.7151379986811379,0.7100000000000001
averaged_per_epoch,67.0,,,0.0016799999999999999,2.2388054609298704,0.7,0.6920850414951373,0.05570065196568887,0.7063203293223225,0.7
averaged_per_epoch,68.0,,,0.00062,2.2430033922195434,0.702,0.6942813872194474,0.05511787824872936,0.7078711604612036,0.702
averaged_per_epoch,69.0,,,0.00506,2.253126621246338,0.7,0.6906771516219579,0.05522965846753132,0.7051094213359815,0.7
averaged_per_epoch,70.0,,,0.00076,2.267286205291748,0.7060000000000001,0.69747581954845,0.05984741760527744,0.7099904882578483,0.7060000000000001
averaged_per_epoch,71.0,,,0.0008200000000000001,2.2354258060455323,0.704,0.6968040946882261,0.05382832199761287,0.7072720074213317,0.704
averaged_per_epoch,72.0,,,0.0004,2.3049448251724245,0.7100000000000001,0.7014667265614364,0.057220830241347505,0.7147721730158588,0.7100000000000001
averaged_per_epoch,73.0,,,0.0014,2.279059410095215,0.71,0.7017094277585046,0.04359520163933434,0.7158409568801958,0.71
averaged_per_epoch,74.0,,,0.00048000000000000007,2.3143961429595947,0.71,0.7012857102669369,0.05178103050042484,0.7197995201539746,0.71
averaged_per_epoch,75.0,,,0.00052,2.313720726966858,0.712,0.7032882301716765,0.044165349214445385,0.7228205569602149,0.712
averaged_per_epoch,76.0,,,0.00038,2.2709244966506956,0.71,0.702064364761629,0.04883366167943508,0.7155551504660755,0.71
averaged_per_epoch,77.0,,,0.00066,2.2776445150375366,0.718,0.7099961780309503,0.051474838180830144,0.7233286605328257,0.718
averaged_per_epoch,78.0,,,0.0017000000000000001,2.28104887008667,0.71,0.7013923182798075,0.055605722357284997,0.7153305172310088,0.71
averaged_per_epoch,79.0,,,0.00043999999999999996,2.28578667640686,0.71,0.7018088104418976,0.05384554689466688,0.7161333170801172,0.71
averaged_per_epoch,80.0,,,0.0008400000000000001,2.2732539653778074,0.712,0.7028559146298579,0.050173026252185456,0.7172934075120984,0.712
averaged_per_epoch,81.0,,,0.00066,2.3065362930297852,0.704,0.6953757669270498,0.045327073693586246,0.7106356423729487,0.704
averaged_per_epoch,82.0,,,0.00037999999999999997,2.3244417667388917,0.706,0.6970793135924555,0.054939955646561005,0.7107655345373195,0.706
averaged_per_epoch,83.0,,,0.00148,2.308092975616455,0.708,0.6991080468299421,0.0492596408707226,0.7153427934699337,0.708
averaged_per_epoch,84.0,,,0.00030000000000000003,2.307230830192566,0.704,0.6953481109645633,0.046816523087131336,0.7126483888339018,0.704
averaged_per_epoch,85.0,,,0.00030000000000000003,2.3283488273620607,0.702,0.6928994361793068,0.04081359552724264,0.7106008420164286,0.702
averaged_per_epoch,86.0,,,0.00052,2.3314396858215334,0.696,0.6873271323468411,0.053402458971685524,0.7038043467085766,0.696
averaged_per_epoch,87.0,,,0.00076,2.3087528705596925,0.696,0.6875843044416259,0.050187323602604646,0.7023028897706628,0.696
averaged_per_epoch,88.0,,,0.0005,2.3059863567352297,0.7,0.69149889501588,0.05064418459534063,0.7069703862234854,0.7
averaged_per_epoch,89.0,,,0.0010999999999999998,2.3373629570007326,0.6900000000000001,0.680724404348872,0.054254817313820605,0.6977682537101142,0.6900000000000001
averaged_per_epoch,90.0,,,0.00212,2.33323016166687,0.702,0.6925408773315841,0.052309202562325935,0.7108224604278666,0.702
averaged_per_epoch,91.0,,,0.0005,2.3207650661468504,0.7,0.6914518349373625,0.049263894850339544,0.7085453755624745,0.7
averaged_per_epoch,92.0,,,0.00030000000000000003,2.2893837690353394,0.6980000000000001,0.6895181694970789,0.05042608404655458,0.7044995151669788,0.6980000000000001
averaged_per_epoch,93.0,,,0.00022,2.289235758781433,0.7,0.6913499944483907,0.052120905784831736,0.7070677314760124,0.7
averaged_per_epoch,94.0,,,0.00030000000000000003,2.2986087799072266,0.704,0.6963987857799461,0.04467585967976002,0.7133660653557063,0.704
averaged_per_epoch,95.0,,,0.00026,2.2941175222396852,0.702,0.6945669608286342,0.04295642938376351,0.7107978490466728,0.702
averaged_per_epoch,96.0,,,0.00030000000000000003,2.3095359325408937,0.7060000000000001,0.6984537517663406,0.044231764230801655,0.7155389432024972,0.7060000000000001
averaged_per_epoch,97.0,,,0.00017999999999999998,2.318061685562134,0.704,0.6963373638064743,0.047132418604306024,0.7136956420024185,0.704
averaged_per_epoch,98.0,,,0.00041999999999999996,2.318131160736084,0.704,0.6963373638064743,0.047132418604306024,0.7136956420024185,0.704
averaged_per_epoch,99.0,,,0.0005,2.3186017274856567,0.704,0.6963373638064743,0.047132418604306024,0.7136956420024185,0.704
averaged_per_epoch,100.0,,,0.00024000000000000003,2.319412112236023,0.704,0.6963373638064743,0.047132418604306024,0.7136956420024185,0.704
epoch_for_best_average_f1,77.0,overall,,,,,0.7099961780309503,,,
best_f1_per_fold,26.0,1,0.7026353735235467,,,,,,,
best_f1_per_fold,46.0,2,0.7715279786333139,,,,,,,
best_f1_per_fold,96.0,3,0.6948782093482555,,,,,,,
best_f1_per_fold,59.0,4,0.7810720229555237,,,,,,,
best_f1_per_fold,55.0,5,0.6735311667056348,,,,,,,
average_of_best_f1s_from_folds,56.4,average_of_bests,,,,,0.7247289502332549,,,
